id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom
tt2032572,USS Indianapolis: Men of Courage (2016),(2016),R,128min,"Action,Drama,History","$40,000,000",,,"$2,158,568",Release Date: 21 April 2017 (Taiwan),0,0,0,0,0,"2,158,568"
tt3095734,Monster Trucks (2016),(2016),PG,104min,"Action,Adventure,Comedy","$125,000,000","$10,950,705","$33,370,166","$64,493,915",Release Date: 13 January 2017 (Taiwan),"360,704",0,"65,946","1,017,720","196,760","31,123,749"
tt3976144,The Monster (2016),(2016),R,91min,"Drama,Fantasy,Horror","$2,700,000","$6,624","$12,544","$74,700",Also Known As: El monstruo,0,0,0,0,0,"62,156"
tt4853102,Batman: The Killing Joke (2016),(2016),R,76min,"Animation,Action,Crime","$3,500,000",,"$3,775,000","$4,462,034",Also Known As: Batman: La broma mortal,0,0,0,0,0,"687,034"
tt2170427,Good Kids (I) (2016),(I),R,86min,"Comedy,Drama",,,,"$43,752",Also Known As: Dobra deca,0,0,0,0,0,"43,752"
tt4937564,Sex Doll (2016),(2016),Unrated,102min,Thriller,"€2,500,000",,,"$49,957",Also Known As: The Working Girl,0,0,0,0,0,"49,957"
tt4781612,Imperium (2016),(2016),R,109min,"Crime,Drama,Thriller",,,,"$282,817",Release Date: 19 August 2016 (USA),0,0,0,0,0,"282,817"
tt0376479,American Pastoral (2016),(2016),R,108min,"Crime,Drama",,"$149,038","$544,098","$2,063,436",Release Date: 28 October 2016 (Taiwan),0,0,0,0,0,"1,519,338"
tt4536768,The Osiris Child (2016),(2016),NotRated,95min,"Action,Adventure,Drama",,,,"$135,532",Release Date: 5 January 2018 (Taiwan),0,0,0,0,0,"135,532"
tt1620935,Bleed for This (2016),(2016),R,117min,"Biography,Drama,Sport","$6,000,000","$2,366,810","$5,083,906","$6,698,679",Release Date: 18 November 2016 (USA),0,0,0,0,0,"1,614,773"
tt2597768,Come and Find Me (2016),(2016),R,112min,Thriller,,,,"$4,052",Also Known As: Encuéntrame,0,0,0,0,0,"4,052"
tt2582500,Shut In (I) (2016),(I),PG-13,91min,"Drama,Mystery,Thriller","$10,000,000","$3,613,567","$6,900,335","$13,082,071",Also Known As: Presencia siniestra,"105,960",0,0,0,0,"6,181,736"
tt3721954,Maudie (2016),(2016),PG-13,115min,"Biography,Drama,Romance","€4,993,020","$45,920","$6,170,998","$9,733,932",Release Date: 4 August 2017 (Ireland),0,0,0,0,0,"3,562,934"
tt2597892,Viral (I) (2016),(I),R,85min,"Drama,Horror,Sci-Fi",,,,"$551,760",Also Known As: Maggefa,0,0,0,0,0,"551,760"
tt5595168,Kingsglaive: Final Fantasy XV (2016),(2016),PG-13,110min,"Animation,Action,Adventure",,"$119,801","$269,980","$5,725,482",Release Date: 9 July 2016 (Japan),0,"4,169,821",0,0,0,"5,455,502"
tt6206564,Trapped (XVII) (2016),(XVII),NotRated,105min,"Action,Drama,Thriller",,,,"$38,349",Also Known As: Blocat,0,0,0,0,0,"38,349"
tt2315582,Una (2016),(2016),R,94min,"Drama,Romance",,"$6,120","$22,815","$526,478",Also Known As: Blackbird,0,0,0,0,0,"503,663"
tt5735280,It Stains the Sands Red (2016),(2016),NotRated,92min,"Drama,Horror,Sci-Fi","$5,000,000",,,"$3,599",Also Known As: Bloody Sand,0,0,0,0,0,"3,599"
tt5946128,Dear Zindagi (2016),(2016),NotRated,151min,"Drama,Romance",,"$977,862","$2,376,479","$3,199,581",Also Known As: Cuoc song men thuong,0,0,0,0,0,"823,102"
tt4778988,LBJ (2016),(2016),R,98min,"Biography,Drama,History","$26,000,000","$1,110,565","$2,470,979","$2,510,151",Release Date: 3 November 2017 (USA),0,0,0,0,0,"39,172"
tt1718924,A Family Man (2016),(2016),R,108min,Drama,,,,"$1,641,235",Also Known As: The Headhunter's Calling,0,0,0,0,0,"1,641,235"
tt3172126,Undrafted (2016),(2016),Unrated,90min,"Comedy,Drama,Sport",,"$3,829","$5,777","$5,777",Release Date: 15 July 2016 (USA),0,0,0,0,0,0
tt1472584,Max Steel (2016),(2016),PG-13,92min,"Action,Adventure,Family","$10,000,000","$2,182,216","$3,818,664","$6,272,403",Release Date: 11 November 2016 (Taiwan),0,"272,819",0,0,0,"2,453,739"
tt3082898,Kickboxer: Vengeance (2016),(2016),NotRated,90min,"Action,Crime,Drama","$10,000,000",,,"$287,779",Release Date: 1 September 2016 (Cambodia),0,0,0,0,0,"287,779"
tt4383594,Nine Lives (I) (2016),(I),PG,87min,"Comedy,Drama,Family","$30,000,000","$6,249,915","$19,700,032","$57,814,445",Release Date: 2 September 2016 (Taiwan),"351,655","16,793,054",0,0,0,"38,114,413"
tt4191702,Norman (2016),(2016),R,118min,"Drama,Thriller",,"$99,211","$3,814,868","$6,217,567",Release Date: 9 March 2017 (Israel),0,0,0,0,0,"2,402,699"
tt5034474,The Assignment (I) (2016),(I),R,95min,"Action,Crime,Thriller","$5,000,000",,,"$388,789",Release Date: 3 March 2017 (USA),0,0,0,0,0,"388,789"
tt3896738,Hounds of Love (2016),(2016),NotRated,108min,"Crime,Drama,Horror",,,,"$234,419",Release Date: 1 June 2017 (Australia),0,0,0,0,0,"234,419"
